Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0806SC,`33,`604,District - Kancheepuram,Urban,35-59,8887,5141,3746,1787,1041,746,168,112,56,2577,1356,1221,333,243,90,75,45,30,318,174,144,1011,663,348,51,35,16,2604,1854,750,0,0,0,402,241,161,506,479,27,147,78,69,0,0,0,39,34,5,111,96,15,374,288,86,180,60,120,197,41,156,1581,383,1198
B0806SC,`33,`604,District - Kancheepuram,Urban,60+,1273,773,500,300,195,105,44,29,15,478,291,187,112,85,27,9,9,0,37,27,10,55,37,18,6,3,3,274,177,97,0,0,0,58,32,26,18,18,0,23,14,9,0,0,0,6,6,0,13,11,2,70,62,8,16,9,7,26,9,17,328,149,179
B0806SC,`33,`604,District - Kancheepuram,Urban,Age not stated,24,12,12,0,0,0,0,0,0,5,4,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,8,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,5
B0806SC,`33,`605,District - Vellore,Total,Total,71695,36863,34832,16846,7753,9093,2189,1163,1026,44173,20374,23799,2403,1447,956,69,46,23,3035,1096,1939,8674,5169,3505,105,91,14,13256,6602,6654,6,3,3,1933,1478,455,1564,1523,41,533,445,88,7,7,0,216,160,56,337,306,31,935,663,272,921,336,585,1160,293,867,7025,3414,3611
B0806SC,`33,`605,District - Vellore,Total,`5-14,1220,659,561,118,46,72,56,28,28,178,81,97,6,0,6,0,0,0,27,13,14,61,19,42,0,0,0,45,27,18,0,0,0,17,17,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,21,3,18,916,512,404
B0806SC,`33,`605,District - Vellore,Total,15-34,31600,16601,14999,6926,3313,3613,802,397,405,16200,7122,9078,721,418,303,21,16,5,1286,375,911,5523,3182,2341,67,61,6,5718,3381,2337,6,3,3,973,773,200,957,941,16,276,262,14,7,7,0,170,122,48,187,169,18,434,307,127,645,242,403,541,131,410,3992,2005,1987
B0806SC,`33,`605,District - Vellore,Total,35-59,32983,16164,16819,8137,3530,4607,1041,542,499,23034,10438,12596,1369,806,563,36,21,15,1484,588,896,2775,1747,1028,38,30,8,6620,2786,3834,0,0,0,827,619,208,585,562,23,233,165,68,0,0,0,38,30,8,139,128,11,444,315,129,245,85,160,507,127,380,1705,705,1000
B0806SC,`33,`605,District - Vellore,Total,60+,5842,3417,2425,1650,857,793,288,194,94,4743,2723,2020,307,223,84,12,9,3,236,118,118,311,221,90,0,0,0,855,402,453,0,0,0,116,69,47,20,18,2,24,18,6,0,0,0,8,8,0,11,9,2,51,35,16,22,6,16,88,32,56,400,189,211
B0806SC,`33,`605,District - Vellore,Total,Age not stated,50,22,28,15,7,8,2,2,0,18,10,8,0,0,0,0,0,0,2,2,0,4,0,4,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,3,0,3,12,3,9
B0806SC,`33,`605,District - Vellore,Rural,Total,57958,28920,29038,12915,5643,7272,2039,1077,962,40260,18575,21685,2034,1235,799,51,34,17,2222,732,1490,5782,3392,2390,58,56,2,10377,4573,5804,6,3,3,1065,834,231,911,889,22,330,288,42,7,7,0,138,107,31,189,170,19,559,405,154,464,149,315,760,229,531,3621,1808,1813
B0806SC,`33,`605,District - Vellore,Rural,`5-14,722,388,334,76,24,52,49,23,26,160,73,87,6,0,6,0,0,0,18,7,11,34,8,26,0,0,0,33,18,15,0,0,0,11,11,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,6,6,0,6,470,267,203
B0806SC,`33,`605,District - Vellore,Rural,15-34,24991,12726,12265,5223,2348,2875,733,364,369,14849,6545,8304,647,377,270,10,7,3,968,263,705,3871,2197,1674,38,38,0,4431,2356,2075,6,3,3,579,467,112,604,594,10,198,191,7,7,7,0,114,83,31,112,102,10,228,174,54,344,113,231,356,103,253,2119,1090,1029
B0806SC,`33,`605,District - Vellore,Rural,35-59,27233,12903,14330,6245,2562,3683,982,504,478,20920,9468,11452,1141,695,446,32,21,11,1068,376,692,1666,1050,616,20,18,2,5155,1850,3305,0,0,0,418,322,96,299,287,12,122,91,31,0,0,0,18,18,0,74,65,9,292,204,88,109,33,76,341,100,241,821,363,458
B0806SC,`33,`605,District - Vellore,Rural,60+,4975,2889,2086,1356,702,654,273,184,89,4317,2481,1836,240,163,77,9,6,3,166,84,82,207,137,70,0,0,0,740,343,397,0,0,0,57,34,23,6,6,0,10,6,4,0,0,0,6,6,0,3,3,0,36,24,12,2,0,2,54,26,28,205,88,117
B0806SC,`33,`605,District - Vellore,Rural,Age not stated,37,14,23,15,7,8,2,2,0,14,8,6,0,0,0,0,0,0,2,2,0,4,0,4,0,0,0,18,6,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,3,6,0,6
B0806SC,`33,`605,District - Vellore,Urban,Total,13737,7943,5794,3931,2110,1821,150,86,64,3913,1799,2114,369,212,157,18,12,6,813,364,449,2892,1777,1115,47,35,12,2879,2029,850,0,0,0,868,644,224,653,634,19,203,157,46,0,0,0,78,53,25,148,136,12,376,258,118,457,187,270,400,64,336,3404,1606,1798
B0806SC,`33,`605,District - Vellore,Urban,`5-14,498,271,227,42,22,20,7,5,2,18,8,10,0,0,0,0,0,0,9,6,3,27,11,16,0,0,0,12,9,3,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,12,446,245,201
B0806SC,`33,`605,District - Vellore,Urban,15-34,6609,3875,2734,1703,965,738,69,33,36,1351,577,774,74,41,33,11,9,2,318,112,206,1652,985,667,29,23,6,1287,1025,262,0,0,0,394,306,88,353,347,6,78,71,7,0,0,0,56,39,17,75,67,8,206,133,73,301,129,172,185,28,157,1873,915,958
B0806SC,`33,`605,District - Vellore,Urban,35-59,5750,3261,2489,1892,968,924,59,38,21,2114,970,1144,228,111,117,4,0,4,416,212,204,1109,697,412,18,12,6,1465,936,529,0,0,0,409,297,112,286,275,11,111,74,37,0,0,0,20,12,8,65,63,2,152,111,41,136,52,84,166,27,139,884,342,542
B0806SC,`33,`605,District - Vellore,Urban,60+,867,528,339,294,155,139,15,10,5,426,242,184,67,60,7,3,3,0,70,34,36,104,84,20,0,0,0,115,59,56,0,0,0,59,35,24,14,12,2,14,12,2,0,0,0,2,2,0,8,6,2,15,11,4,20,6,14,34,6,28,195,101,94
B0806SC,`33,`605,District - Vellore,Urban,Age not stated,13,8,5,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,6,3,3
B0806SC,`33,`606,District - Tiruvannamalai,Total,Total,65476,31028,34448,13703,5832,7871,4671,2582,2089,58598,24428,34170,808,474,334,26,24,2,792,322,470,2088,1272,816,74,74,0,4610,3372,1238,6,6,0,1092,752,340,786,762,24,404,360,44,6,0,6,38,24,14,162,148,14,332,236,96,486,176,310,746,206,540,3454,1642,1812
B0806SC,`33,`606,District - Tiruvannamalai,Total,`5-14,1092,531,561,180,91,89,87,36,51,477,234,243,14,2,12,0,0,0,0,0,0,14,6,8,0,0,0,30,24,6,0,0,0,12,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,6,614,296,318
B0806SC,`33,`606,District - Tiruvannamalai,Total,15-34,30688,14871,15817,6323,2789,3534,1836,899,937,25591,10553,15038,292,180,112,14,12,2,434,182,252,1534,882,652,44,44,0,2808,2188,620,6,6,0,628,452,176,566,550,16,280,258,22,6,0,6,30,18,12,118,104,14,206,146,60,348,102,246,340,106,234,1930,978,952
B0806SC,`33,`606,District - Tiruvannamalai,Total,35-59,27990,12504,15486,5676,2185,3491,2190,1264,926,26672,10633,16039,370,196,174,12,12,0,272,96,176,506,350,156,30,30,0,1602,1042,560,0,0,0,354,238,116,202,200,2,108,90,18,0,0,0,2,0,2,42,42,0,114,82,32,124,62,62,310,50,260,756,302,454
B0806SC,`33,`606,District - Tiruvannamalai,Total,60+,5670,3099,2571,1502,756,746,557,382,175,5825,2993,2832,132,96,36,0,0,0,80,38,42,28,28,0,0,0,0,164,112,52,0,0,0,98,56,42,18,12,6,10,6,4,0,0,0,6,6,0,2,2,0,12,8,4,14,12,2,72,38,34,154,66,88
B0806SC,`33,`606,District - Tiruvannamalai,Total,Age not stated,36,23,13,22,11,11,1,1,0,33,15,18,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
B0806SC,`33,`606,District - Tiruvannamalai,Rural,Total,61349,28960,32389,12752,5373,7379,4540,2516,2024,56281,23417,32864,678,406,272,26,24,2,712,286,426,1826,1138,688,44,44,0,3994,2974,1020,6,6,0,774,582,192,652,636,16,356,320,36,0,0,0,32,18,14,112,110,2,258,182,76,386,136,250,606,172,434,2818,1366,1452
B0806SC,`33,`606,District - Tiruvannamalai,Rural,`5-14,1005,491,514,171,91,80,82,33,49,466,231,235,14,2,12,0,0,0,0,0,0,14,6,8,0,0,0,18,18,0,0,0,0,12,6,6,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,552,274,278
B0806SC,`33,`606,District - Tiruvannamalai,Rural,15-34,28638,13809,14829,5886,2566,3320,1776,863,913,24610,10132,14478,244,152,92,14,12,2,394,164,230,1344,788,556,32,32,0,2464,1936,528,6,6,0,480,364,116,488,474,14,260,238,22,0,0,0,24,12,12,86,84,2,156,112,44,276,82,194,286,96,190,1584,828,756
B0806SC,`33,`606,District - Tiruvannamalai,Rural,35-59,26273,11686,14587,5263,1994,3269,2141,1245,896,25561,10161,15400,316,180,136,12,12,0,238,78,160,434,310,124,12,12,0,1356,908,448,0,0,0,218,164,54,158,156,2,82,70,12,0,0,0,2,0,2,24,24,0,92,64,28,96,42,54,238,38,200,556,216,340
B0806SC,`33,`606,District - Tiruvannamalai,Rural,60+,5401,2952,2449,1410,711,699,540,374,166,5615,2879,2736,104,72,32,0,0,0,74,38,36,28,28,0,0,0,0,150,106,44,0,0,0,64,48,16,6,6,0,8,6,2,0,0,0,6,6,0,2,2,0,10,6,4,14,12,2,64,32,32,126,48,78
B0806SC,`33,`606,District - Tiruvannamalai,Rural,Age not stated,32,22,10,22,11,11,1,1,0,29,14,15,0,0,0,0,0,0,6,6,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0
B0806SC,`33,`606,District - Tiruvannamalai,Urban,Total,4127,2068,2059,951,459,492,131,66,65,2317,1011,1306,130,68,62,0,0,0,80,36,44,262,134,128,30,30,0,616,398,218,0,0,0,318,170,148,134,126,8,48,40,8,6,0,6,6,6,0,50,38,12,74,54,20,100,40,60,140,34,106,636,276,360
B0806SC,`33,`606,District - Tiruvannamalai,Urban,`5-14,87,40,47,9,0,9,5,3,2,11,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,62,22,40
B0806SC,`33,`606,District - Tiruvannamalai,Urban,15-34,2050,1062,988,437,223,214,60,36,24,981,421,560,48,28,20,0,0,0,40,18,22,190,94,96,12,12,0,344,252,92,0,0,0,148,88,60,78,76,2,20,20,0,6,0,6,6,6,0,32,20,12,50,34,16,72,20,52,54,10,44,346,150,196
B0806SC,`33,`606,District - Tiruvannamalai,Urban,35-59,1717,818,899,413,191,222,49,19,30,1111,472,639,54,16,38,0,0,0,34,18,16,72,40,32,18,18,0,246,134,112,0,0,0,136,74,62,44,44,0,26,20,6,0,0,0,0,0,0,18,18,0,22,18,4,28,20,8,72,12,60,200,86,114
B0806SC,`33,`606,District - Tiruvannamalai,Urban,60+,269,147,122,92,45,47,17,8,9,210,114,96,28,24,4,0,0,0,6,0,6,0,0,0,0,0,0,14,6,8,0,0,0,34,8,26,12,6,6,2,0,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,6,2,28,18,10
B0806SC,`33,`606,District - Tiruvannamalai,Urban,Age not stated,4,1,3,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`607,District - Viluppuram,Total,Total,137027,65063,71964,23187,9800,13387,7742,4182,3560,123304,54243,69061,1656,1016,640,336,192,144,1466,576,890,2762,1864,898,70,58,12,7280,4120,3160,32,32,0,1902,1360,542,1366,1350,16,530,454,76,0,0,0,154,114,40,130,116,14,616,408,208,782,326,456,2338,628,1710,7748,3824,3924
B0806SC,`33,`607,District - Viluppuram,Total,`5-14,2625,1274,1351,343,162,181,164,66,98,1120,510,610,6,6,0,0,0,0,18,0,18,36,18,18,0,0,0,46,32,14,0,0,0,34,34,0,14,14,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,102,42,60,1416,702,714
B0806SC,`33,`607,District - Viluppuram,Total,15-34,63724,30567,33157,10679,4608,6071,3222,1618,1604,54509,23527,30982,642,450,192,108,68,40,724,264,460,1944,1272,672,20,14,6,4030,2688,1342,24,24,0,1178,856,322,954,938,16,378,352,26,0,0,0,116,84,32,98,84,14,320,198,122,588,256,332,1252,342,910,4296,2140,2156
B0806SC,`33,`607,District - Viluppuram,Total,35-59,58895,26675,32220,9594,3701,5893,3482,1908,1574,55863,23762,32101,810,446,364,176,98,78,578,238,340,718,522,196,38,32,6,2840,1266,1574,8,8,0,568,382,186,386,386,0,138,96,42,0,0,0,32,24,8,32,32,0,240,166,74,194,70,124,794,196,598,1592,744,848
B0806SC,`33,`607,District - Viluppuram,Total,60+,11607,6462,5145,2545,1319,1226,868,588,280,11688,6383,5305,192,108,84,52,26,26,146,74,72,64,52,12,12,12,0,364,134,230,0,0,0,118,86,32,12,12,0,8,0,8,0,0,0,0,0,0,0,0,0,56,44,12,0,0,0,190,48,142,382,214,168
B0806SC,`33,`607,District - Viluppuram,Total,Age not stated,176,85,91,26,10,16,6,2,4,124,61,63,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,24,38
B0806SC,`33,`607,District - Viluppuram,Rural,Total,128929,60315,68614,21122,8730,12392,7596,4069,3527,119349,52170,67179,1394,828,566,92,62,30,1328,538,790,2372,1574,798,42,42,0,6090,3218,2872,32,32,0,1418,992,426,1076,1060,16,418,376,42,0,0,0,122,84,38,82,70,12,398,276,122,640,282,358,1870,516,1354,5732,2856,2876
B0806SC,`33,`607,District - Viluppuram,Rural,`5-14,2327,1126,1201,324,151,173,160,62,98,1093,499,594,6,6,0,0,0,0,18,0,18,24,12,12,0,0,0,36,22,14,0,0,0,6,6,0,8,8,0,6,6,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,100,42,58,1188,608,580
B0806SC,`33,`607,District - Viluppuram,Rural,15-34,60009,28427,31582,9767,4124,5643,3179,1588,1591,52923,22729,30194,560,390,170,32,20,12,670,252,418,1724,1118,606,12,12,0,3412,2188,1224,24,24,0,928,666,262,826,810,16,326,310,16,0,0,0,92,60,32,68,56,12,232,148,84,512,226,286,1020,286,734,3236,1668,1568
B0806SC,`33,`607,District - Viluppuram,Rural,35-59,55433,24613,30820,8624,3216,5408,3415,1857,1558,53872,22726,31146,670,350,320,50,36,14,500,212,288,568,400,168,24,24,0,2304,892,1412,8,8,0,396,262,134,236,236,0,84,60,24,0,0,0,24,18,6,14,14,0,140,104,36,128,56,72,610,146,464,1014,428,586
B0806SC,`33,`607,District - Viluppuram,Rural,60+,11040,6094,4946,2381,1229,1152,836,560,276,11337,6155,5182,158,82,76,10,6,4,140,74,66,56,44,12,6,6,0,338,116,222,0,0,0,84,56,28,6,6,0,2,0,2,0,0,0,0,0,0,0,0,0,26,24,2,0,0,0,140,42,98,282,152,130
B0806SC,`33,`607,District - Viluppuram,Rural,Age not stated,120,55,65,26,10,16,6,2,4,124,61,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,12
B0806SC,`33,`607,District - Viluppuram,Urban,Total,8098,4748,3350,2065,1070,995,146,113,33,3955,2073,1882,262,188,74,244,130,114,138,38,100,390,290,100,28,16,12,1190,902,288,0,0,0,484,368,116,290,290,0,112,78,34,0,0,0,32,30,2,48,46,2,218,132,86,142,44,98,468,112,356,2016,968,1048
B0806SC,`33,`607,District - Viluppuram,Urban,`5-14,298,148,150,19,11,8,4,4,0,27,11,16,0,0,0,0,0,0,0,0,0,12,6,6,0,0,0,10,10,0,0,0,0,28,28,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,228,94,134
B0806SC,`33,`607,District - Viluppuram,Urban,15-34,3715,2140,1575,912,484,428,43,30,13,1586,798,788,82,60,22,76,48,28,54,12,42,220,154,66,8,2,6,618,500,118,0,0,0,250,190,60,128,128,0,52,42,10,0,0,0,24,24,0,30,28,2,88,50,38,76,30,46,232,56,176,1060,472,588
B0806SC,`33,`607,District - Viluppuram,Urban,35-59,3462,2062,1400,970,485,485,67,51,16,1991,1036,955,140,96,44,126,62,64,78,26,52,150,122,28,14,8,6,536,374,162,0,0,0,172,120,52,150,150,0,54,36,18,0,0,0,8,6,2,18,18,0,100,62,38,66,14,52,184,50,134,578,316,262
B0806SC,`33,`607,District - Viluppuram,Urban,60+,567,368,199,164,90,74,32,28,4,351,228,123,34,26,8,42,20,22,6,0,6,8,8,0,6,6,0,26,18,8,0,0,0,34,30,4,6,6,0,6,0,6,0,0,0,0,0,0,0,0,0,30,20,10,0,0,0,50,6,44,100,62,38
B0806SC,`33,`607,District - Viluppuram,Urban,Age not stated,56,30,26,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,24,26
B0806SC,`33,`608,District - Salem,Total,Total,25416,11407,14009,4524,1937,2587,748,338,410,17506,6628,10878,631,282,349,125,82,43,424,123,301,1905,1195,710,91,67,24,3452,1708,1744,3,3,0,715,490,225,580,555,25,108,62,46,0,0,0,70,59,11,126,102,24,372,302,70,459,147,312,211,42,169,2414,1159,1255
B0806SC,`33,`608,District - Salem,Total,`5-14,602,329,273,75,41,34,17,9,8,129,66,63,8,0,8,3,3,0,0,0,0,32,20,12,0,0,0,20,20,0,0,0,0,9,3,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,12,9,3,432,228,204
B0806SC,`33,`608,District - Salem,Total,15-34,10503,4860,5643,1751,847,904,294,123,171,6351,2340,4011,196,79,117,47,35,12,183,37,146,1036,665,371,29,26,3,1550,928,622,3,3,0,344,255,89,338,324,14,39,26,13,0,0,0,47,41,6,63,45,18,169,131,38,306,85,221,95,9,86,1164,555,609
B0806SC,`33,`608,District - Salem,Total,35-59,11627,4874,6753,2024,760,1264,330,150,180,8673,3125,5548,323,147,176,63,32,31,169,53,116,739,437,302,57,38,19,1599,658,941,0,0,0,300,187,113,221,210,11,69,36,33,0,0,0,23,18,5,54,48,6,168,136,32,137,53,84,74,12,62,652,294,358
B0806SC,`33,`608,District - Salem,Total,60+,2674,1340,1334,673,289,384,104,56,48,2349,1095,1254,104,56,48,12,12,0,72,33,39,96,71,25,5,3,2,283,102,181,0,0,0,62,45,17,18,18,0,0,0,0,0,0,0,0,0,0,9,9,0,35,35,0,4,0,4,30,12,18,164,82,82
B0806SC,`33,`608,District - Salem,Total,Age not stated,10,4,6,1,0,1,3,0,3,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
B0806SC,`33,`608,District - Salem,Rural,Total,17553,7368,10185,2666,974,1692,617,290,327,13921,5163,8758,409,203,206,108,67,41,232,69,163,785,497,288,38,35,3,2234,864,1370,0,0,0,315,222,93,329,312,17,26,12,14,0,0,0,17,17,0,39,30,9,93,74,19,201,61,140,99,24,75,756,402,354
B0806SC,`33,`608,District - Salem,Rural,`5-14,287,156,131,51,33,18,12,5,7,112,56,56,0,0,0,0,0,0,0,0,0,18,12,6,0,0,0,17,17,0,0,0,0,6,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,167,90,77
B0806SC,`33,`608,District - Salem,Rural,15-34,7068,3025,4043,995,394,601,235,104,131,5136,1829,3307,126,49,77,38,26,12,106,16,90,453,295,158,17,17,0,974,497,477,0,0,0,156,114,42,212,198,14,9,3,6,0,0,0,11,11,0,15,9,6,51,39,12,136,35,101,45,3,42,343,174,169
B0806SC,`33,`608,District - Salem,Rural,35-59,8201,3219,4982,1166,368,798,277,131,146,6813,2425,4388,207,109,98,58,29,29,79,32,47,273,166,107,21,18,3,1045,297,748,0,0,0,123,78,45,108,105,3,17,9,8,0,0,0,6,6,0,21,18,3,36,29,7,63,26,37,33,6,27,187,103,84
B0806SC,`33,`608,District - Salem,Rural,60+,1990,964,1026,453,179,274,91,50,41,1856,851,1005,76,45,31,12,12,0,47,21,26,39,22,17,0,0,0,198,53,145,0,0,0,30,27,3,6,6,0,0,0,0,0,0,0,0,0,0,3,3,0,6,6,0,2,0,2,18,12,6,59,35,24
B0806SC,`33,`608,District - Salem,Rural,Age not stated,7,4,3,1,0,1,2,0,2,4,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B0806SC,`33,`608,District - Salem,Urban,Total,7863,4039,3824,1858,963,895,131,48,83,3585,1465,2120,222,79,143,17,15,2,192,54,138,1120,698,422,53,32,21,1218,844,374,3,3,0,400,268,132,251,243,8,82,50,32,0,0,0,53,42,11,87,72,15,279,228,51,258,86,172,112,18,94,1658,757,901
B0806SC,`33,`608,District - Salem,Urban,`5-14,315,173,142,24,8,16,5,4,1,17,10,7,8,0,8,3,3,0,0,0,0,14,8,6,0,0,0,3,3,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,3,9,6,3,265,138,127
B0806SC,`33,`608,District - Salem,Urban,15-34,3435,1835,1600,756,453,303,59,19,40,1215,511,704,70,30,40,9,9,0,77,21,56,583,370,213,12,9,3,576,431,145,3,3,0,188,141,47,126,126,0,30,23,7,0,0,0,36,30,6,48,36,12,118,92,26,170,50,120,50,6,44,821,381,440
B0806SC,`33,`608,District - Salem,Urban,35-59,3426,1655,1771,858,392,466,53,19,34,1860,700,1160,116,38,78,5,3,2,90,21,69,466,271,195,36,20,16,554,361,193,0,0,0,177,109,68,113,105,8,52,27,25,0,0,0,17,12,5,33,30,3,132,107,25,74,27,47,41,6,35,465,191,274
B0806SC,`33,`608,District - Salem,Urban,60+,684,376,308,220,110,110,13,6,7,493,244,249,28,11,17,0,0,0,25,12,13,57,49,8,5,3,2,85,49,36,0,0,0,32,18,14,12,12,0,0,0,0,0,0,0,0,0,0,6,6,0,29,29,0,2,0,2,12,0,12,105,47,58
B0806SC,`33,`608,District - Salem,Urban,Age not stated,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2
B0806SC,`33,`609,District - Namakkal,Total,Total,15667,6808,8859,1701,547,1154,639,276,363,11453,4325,7128,512,240,272,14,6,8,192,58,134,522,306,216,14,8,6,1380,746,634,6,6,0,316,214,102,306,300,6,62,56,6,0,0,0,42,36,6,56,42,14,114,90,24,232,74,158,232,62,170,1276,510,766
B0806SC,`33,`609,District - Namakkal,Total,`5-14,381,175,206,20,14,6,31,16,15,122,67,55,0,0,0,0,0,0,0,0,0,6,0,6,0,0,0,2,2,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234,98,136
B0806SC,`33,`609,District - Namakkal,Total,15-34,5853,2558,3295,641,203,438,248,93,155,3546,1212,2334,196,94,102,0,0,0,68,8,60,298,194,104,4,2,2,622,388,234,0,0,0,194,156,38,176,170,6,22,18,4,0,0,0,36,30,6,26,18,8,70,56,14,166,56,110,118,12,106,704,254,450
B0806SC,`33,`609,District - Namakkal,Total,35-59,7319,2979,4340,685,175,510,283,121,162,5827,2113,3714,252,102,150,14,6,8,100,26,74,178,88,90,8,6,2,610,260,350,6,6,0,106,52,54,124,124,0,40,38,2,0,0,0,6,6,0,24,18,6,38,28,10,60,18,42,92,44,48,236,98,138
